Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Ranking	FR-31	Calculation	Xếp hạng theo totalScore giảm dần, tie-break teamId tăng	Có ranking CK	Gán rank tuần tự 1..n	N/A	3 team t1>t2>t3	Implemented	hackathons/query/FinalRankingQueryServiceImpl.java
Ranking	FR-31	Calculation	judgeCount = số judge distinct score NORMAL trên submission CK	Có submission CK	Đếm judge NORMAL	N/A	Kiểm tra judgeCount	Implemented	hackathons/query/FinalRankingQueryServiceImpl.java
Ranking	FR-31	Invariant	Gắn chapterId/chapterName từ team.chapter nếu có	Team có chapter	Điền meta chapter vào item	N/A	Team có/không chapter	Implemented	hackathons/query/FinalRankingQueryServiceImpl.java
Prize	FR-32	Guard	FINISHED không trao giải mới	status=FINISHED khi award	Conflict	HACKATHON_ARCHIVED	FINISHED + POST prize	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Chỉ trao giải khi PENDING_CONFIRM	status ≠ PENDING_CONFIRM (và không FINISHED)	Từ chối	HACKATHON_NOT_PENDING_CONFIRM	ONGOING + POST	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Round phải thuộc hackathon đang trao giải	round.hackathonId ≠ path hackathonId	Từ chối	CROSS_HACKATHON_VIOLATION	Round hackathon khác	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Team phải thuộc hackathon đang trao giải	team.hackathonId ≠ path hackathonId	Từ chối	CROSS_HACKATHON_VIOLATION	Team hackathon khác	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Nếu có trackId thì track phải thuộc round đã chọn	track.roundId ≠ req.roundId	Từ chối	CROSS_HACKATHON_VIOLATION	Track sai round	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Round còn tiebreak chưa resolve thì không trao giải	tiebreak(round) không rỗng	Từ chối	TIEBREAK_UNRESOLVED	DEEP_TIE còn mở	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Invariant	Một đội ≤ 1 giải chính trong hackathon (và theo round)	exists round+team hoặc hackathon+team	Conflict	PRIZE_DUPLICATE	Cùng team trao 2 lần	Implemented	prizes/service/impl/PrizeServiceImpl.java#assertNoDuplicate
Prize	FR-32	Invariant	Một prizeRank ≤ 1 lần trong hackathon (và theo round)	prizeRank≠null và đã tồn tại	Conflict	PRIZE_DUPLICATE	Trùng FIRST/SECOND	Implemented	prizes/service/impl/PrizeServiceImpl.java#assertNoDuplicate
Prize	FR-36	Audit	Trao giải ghi audit PRIZE_AWARDED	Sau save prize	log meta hackathon/round/team/rank	N/A	Audit sau POST	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	FINISHED không sửa giải đã trao	status=FINISHED khi update	Conflict	HACKATHON_ARCHIVED	FINISHED + PATCH prize	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Đổi đội: team mới phải cùng hackathon	newTeam.hackathon ≠ prize.hackathon	Từ chối	CROSS_HACKATHON_VIOLATION	Đổi team sai HK	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Invariant	Đổi đội: đội mới chưa có giải chính trong hackathon	existsByHackathonIdAndTeamId(newTeam)	Conflict	PRIZE_DUPLICATE	Reassign vào đội đã có giải	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-36	Audit	Sửa giải ghi PRIZE_AWARD_UPDATED (reason, old/new team)	Sau update	audit log	N/A	PATCH prize	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Chỉ xem danh sách giải khi PENDING_CONFIRM hoặc FINISHED	status khác hai trạng thái trên	Từ chối	INVALID_STATE	ONGOING GET prizes	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Thu hồi bắt buộc category + note không rỗng	Thiếu category hoặc note	Từ chối	PRIZE_REVOKE_REASON_REQUIRED	DELETE body thiếu	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	Category thu hồi chỉ AWARDED_IN_ERROR|TEAM_DQ|DUPLICATE_AWARD|OTHER	Category ngoài allowlist	Từ chối	PRIZE_REVOKE_CATEGORY_INVALID	Category lạ	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Guard	FINISHED không thu hồi giải	status=FINISHED khi revoke	Conflict	HACKATHON_ARCHIVED	Profile C DELETE	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-36	Audit	Thu hồi ghi PRIZE_REVOKED kèm revokeCategory + revokeNote	Sau delete prize	audit append-only	N/A	Revoke có note	Implemented	prizes/service/impl/PrizeServiceImpl.java
Prize	FR-32	Access	API prizes/closure/export chỉ COORDINATOR	Gọi endpoint @CoordinatorOnly	403 nếu không phải Coord	FORBIDDEN	Role STUDENT gọi	Implemented	prizes/controller/*; hackathons/controller/HackathonClosureController.java; export_jobs/controller/ExportJobController.java
Ranking	FR-33	Guard	XH Chapter chỉ công bố khi PENDING_CONFIRM hoặc FINISHED	status khác hai trạng thái	Từ chối	INVALID_STATE	ONGOING GET chapter-rankings	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Lifecycle	Tính & persist chapter ranking sau confirm (async AFTER_COMMIT)	HackathonFinishedEvent	delete cũ + tính lại + save	N/A	Sau confirm có rows	Implemented	HackathonFinishedEventListener.java; ChapterRankingServiceImpl.java
Ranking	FR-33	Invariant	Không có team ranking CK → bỏ qua persist	teamRankings empty	return sớm, không rows	N/A	Confirm khi CK trống điểm	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Invariant	Team không có chapterId không góp vào XH chapter	item.chapterId=null	Bỏ qua team đó	N/A	Team không gắn chapter	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Calculation	Công thức mặc định SUM điểm CK các team theo chapter; bestTeamScore=max; prizesWon đếm prize của team thuộc chapter	calculateAsync	Sort totalScore↓, bestTeamScore↓, chapterId↑ rồi gán rank	N/A	So khớp totalScore	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Invariant	Lưu formulaSnapshot từ hackathon.chapterScoringFormula hoặc DEFAULT SUM_TEAM_FINAL_SCORES v1	Khi persist	Ghi snapshot vào row	N/A	Kiểm tra formulaSnapshot	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Policy	GET chapter trước calculateAsync có thể trả [] dù PENDING_CONFIRM	Chưa chạy async	200 []	N/A	Profile B trước event	Implemented	chapters/service/impl/ChapterRankingServiceImpl.java
Ranking	FR-33	Guard	XH cá nhân chỉ khi individual_ranking_enabled=true	cờ ≠ true	Từ chối	INVALID_STATE	cờ false	Implemented	individual_rankings/service/impl/IndividualRankingServiceImpl.java
Ranking	FR-33	Guard	XH cá nhân chỉ công bố khi FINISHED	status ≠ FINISHED	Từ chối	INVALID_STATE	PENDING_CONFIRM GET individual	Implemented	individual_rankings/service/impl/IndividualRankingServiceImpl.java
Ranking	FR-33	Lifecycle	calculateAsync bỏ qua nếu cờ tắt	individualRankingEnabled≠true	log + return	N/A	Confirm với cờ false	Implemented	individual_rankings/service/impl/IndividualRankingServiceImpl.java
Ranking	FR-33	Calculation	Điểm SV = tổng (điểm team CK / số member ACCEPTED) trên các team tham gia CK	calculateAsync	Chỉ member ACCEPTED; chia đều share	N/A	Team 2 SV điểm chia đôi	Implemented	individual_rankings/service/impl/IndividualRankingServiceImpl.java
Ranking	FR-33	Calculation	Rank theo score giảm dần, tie-break userId tăng; cumulativeScore hiện = scoreThisHackathon	Sau aggregate	Persist rank 1..n	N/A	Hai user cùng điểm	Implemented	individual_rankings/service/impl/IndividualRankingServiceImpl.java
Export	FR-34	Guard	Chỉ tạo export khi hackathon FINISHED	status ≠ FINISHED	Từ chối	INVALID_STATE	PENDING_CONFIRM POST export	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-34	Lifecycle	Tạo job PENDING → build CSV → storage → DONE ngay (đồng bộ)	create() thành công	status DONE + fileUrl + finishedAt	N/A	POST → DONE không PENDING lâu	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-36	Audit	Tạo export ghi EXPORT_JOB_CREATED	Sau DONE	audit type + storageKey	N/A	Audit sau create	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-34	Guard	Download chỉ khi job DONE	status ≠ DONE	Từ chối	INVALID_STATE	(không dùng EXPORT_JOB_NOT_READY)	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-34	Guard	fileUrl null/blank → không download	fileUrl thiếu	Từ chối	INVALID_STATE	Job DONE nhưng thiếu URL	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-34	Guard	Object storage phải còn file	!objectStorage.exists	Từ chối	INVALID_STATE	Xóa file storage tay	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-36	Audit	Download ghi EXPORT_FILE_DOWNLOADED	Sau kiểm tra file OK	audit download	N/A	GET download	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Export	FR-34	Calculation	CSV_RANKINGS: ranking mọi round + TEAM_OTHER cho team chưa có rank; BOM UTF-8	type=CSV_RANKINGS	Xuất CSV rankings	N/A	So header section=ROUND_RANKING	Implemented	export_jobs/support/ExportCsvBuilder.java
Export	FR-35	Policy	ANONYMIZED_RBL: điểm NORMAL+PENALTY (loại CALIBRATION); ẩn danh judge; gắn judge_type FACULTY/GUEST/OTHER	type=ANONYMIZED_RBL	CSV long-format RBL	N/A	Không lộ judge_id thô	Implemented	export_jobs/support/ExportCsvBuilder.java; rbl/support/RblJudgeAnonymizer.java
Export	FR-34	Calculation	FULL_REPORT gộp rankings + scores anonymized + RBL long + variance aggregate	type=FULL_REPORT	CSV multi-section	N/A	Có SECTION markers	Implemented	export_jobs/support/ExportCsvBuilder.java
Export	FR-34	Policy	List export jobs theo hackathon không kiểm tra FINISHED	GET list	Trả jobs hoặc 404 hackathon	N/A	List khi ONGOING	Implemented	export_jobs/service/impl/ExportJobServiceImpl.java
Announcement	FR-33	SideEffect	publishResults lưu softHidden=false + publish STOMP + audit ANNOUNCEMENT_PUBLISHED	Gọi từ confirm	Persist + live event	N/A	Subscribe announcements	Implemented	announcements/service/AnnouncementService.java
Announcement	N/A	Policy	Feed chỉ hiện announcement softHidden=false	listVisible/feed	Lọc soft hidden	N/A	softHide rồi list	Implemented	announcements/service/AnnouncementService.java
Announcement	N/A	Invariant	unreadCount = số announcement tạo sau lastViewedAt (hoặc tất cả nếu chưa xem)	feedForCurrentUser	Tính unread + lastViewedAt	N/A	markViewed rồi feed	Implemented	announcements/service/AnnouncementService.java
Announcement	N/A	Policy	Coord có thể soft-hide; ghi audit ANNOUNCEMENT_SOFT_HIDE	softHide(id, hidden)	Cập nhật softHidden	N/A	Hide rồi listVisible rỗng item đó	Implemented	announcements/service/AnnouncementService.java
Rbl	FR-35	Access	API variance/progress RBL chỉ COORDINATOR	Gọi /rbl rounds endpoints	@CoordinatorOnly	FORBIDDEN	STUDENT gọi variance	Implemented	rbl/controller/RblDashboardController.java
Rbl	FR-35	Policy	Variance không lộ judgeId thô — chỉ pseudonym J{hash36} ổn định theo (hackathonId,judgeId)	varianceByRound	anonymizedJudgeId	N/A	Cùng judge cùng hash trong 1 HK	Implemented	rbl/service/impl/RblDashboardServiceImpl.java; rbl/support/RblJudgeAnonymizer.java
Rbl	FR-35	Calculation	Spread/IRR loại criterion type PENALTY; chỉ score NORMAL	Query variance	Loại PENALTY	N/A	PENALTY không vào spread	Implemented	rbl/service/impl/RblDashboardServiceImpl.java
Rbl	FR-35	Calculation	Inter-rater STDDEV chỉ submission có ≥2 judge distinct	HAVING COUNT DISTINCT judge ≥2	Aggregate mean_inter_rater_std	N/A	1 judge → không vào IRR	Implemented	rbl/service/impl/RblDashboardServiceImpl.java
Rbl	FR-35	Invariant	GUEST=JUDGE&(temp|EXTERNAL); FACULTY=JUDGE&INTERNAL&!temp; còn lại OTHER	Export/RBL classify	Gắn judge_type	N/A	Temp account = GUEST	Implemented	rbl/support/JudgeResearchTypeResolver.java
Rbl	N/A	Calculation	completionPct = scoredSubmissions(NORMAL)/totalSubmissions *100 (round 2)	scoringProgress	Trả %	N/A	0 submission → 0%	Implemented	rbl/service/impl/RblDashboardServiceImpl.java
MentorPortal	N/A	Access	Mentor chỉ xem team nếu được gán team (mọi round) hoặc gán track mà team đang thuộc	assertAssignedToTeam fail	403 FORBIDDEN	FORBIDDEN	Mentor ngoài phạm vi	Implemented	me/support/MentorAccessGuard.java
MentorPortal	N/A	Guard	Mentor xem điểm đội chỉ khi round.scoringLocked=true	scoringLocked≠true	Từ chối	ROUND_NOT_SCORING_LOCKED	Round chưa lock	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	N/A	Guard	Lịch CK chỉ cho round isFinal=true	isFinal≠true	Từ chối	INVALID_FINAL_ROUND	Round sơ loại	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	FR-31	Guard	Mentor xem XH hackathon khi PENDING_CONFIRM hoặc FINISHED	status khác	Từ chối	RESULT_NOT_AVAILABLE	ONGOING mentor rankings	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	FR-31	Guard	Mentor rankings cần có vòng CK	Thiếu isFinal	Từ chối	INVALID_STATE	Hackathon không CK	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	FR-33	Calculation	Mentor chapter ranking dùng AVG điểm team (khác official SUM)	getHackathonRankings	Sort avg giảm dần	N/A	So với GET chapter-rankings official	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	N/A	Policy	Lịch sử mentor chỉ hackathon FINISHED (lọc năm tùy chọn)	getHistory	Filter FINISHED + year	N/A	ONGOING không vào history	Implemented	me/mentor/service/impl/MentorPortalServiceImpl.java
MentorPortal	N/A	Access	Portal /api/v1/me mentor* yêu cầu @MentorOnly	Gọi API mentor	403 nếu không mentor duyệt	FORBIDDEN	STUDENT gọi mentor API	Implemented	me/controller/MentorMeController.java
LiveScoring	N/A	Access	STOMP CONNECT bắt buộc Bearer JWT (trừ jwt.enabled=false stub Coord)	CONNECT thiếu token	IllegalArgumentException	N/A	WS không token	Implemented	live_scoring/security/StompJwtChannelInterceptor.java
LiveScoring	N/A	Access	SUBSCRIBE phải có SealAuthentication	User chưa auth	AccessDeniedException	N/A	Subscribe anonymous	Implemented	live_scoring/security/StompSubscribeAuthorizationInterceptor.java
LiveScoring	N/A	Access	Topic round leaderboard/scoring/presentation-queue: Coord hoặc judge được gán round	canAccessRound false	AccessDenied	N/A	Judge ngoài round	Implemented	live_scoring/security/StompSubscribeAuthorizationInterceptor.java
LiveScoring	N/A	Access	Topic tracks/{id}/score-saved: Coord hoặc judge được gán track	canAccessTrack false	AccessDenied	N/A	Judge ngoài track	Implemented	live_scoring/security/StompSubscribeAuthorizationInterceptor.java
LiveScoring	N/A	Access	Presentation queue: Coord | judge track/round | presentation controller	Không đủ quyền	AccessDenied	N/A	User thường subscribe queue	Implemented	live_scoring/security/StompSubscribeAuthorizationInterceptor.java
LiveScoring	FR-33	Access	Topic hackathons/{id}/announcements: mọi user đã auth (approved) được subscribe	SUBSCRIBE announcements	Cho phép nếu đã auth	N/A	Student subscribe sau confirm	Implemented	live_scoring/security/StompSubscribeAuthorizationInterceptor.java
Archive	N/A	Guard	FINISHED chặn mọi mutation qua HackathonArchiveGuard (hackathon/round/track/criteria)	assertNotArchived* khi FINISHED	Conflict	HACKATHON_ARCHIVED	Sửa round khi FINISHED	Implemented	hackathons/support/HackathonArchiveGuard.java
RoundAccess	N/A	Guard	requireActiveRound: isActive≠true → ROUND_NOT_ACTIVE (chưa kích hoạt / đã kết thúc)	Round inactive	Từ chối	ROUND_NOT_ACTIVE	Submit khi inactive	Implemented	rounds/guard/RoundAccessGuard.java
RoundAccess	N/A	Guard	requireUnlockedRound: scoringLocked → ScoringLockedException	Round đã lock	Từ chối (scoring locked)	SCORING_LOCKED (exception type)	Chấm khi đã lock	Implemented	rounds/guard/RoundAccessGuard.java
RoundAccess	N/A	Invariant	requireActiveRoundForUpdate dùng PESSIMISTIC_WRITE chống Lost Update	close-early/lock-scoring song song	Khóa row round	N/A	2 Coord lock song song	Implemented	rounds/guard/RoundAccessGuard.java
Certificate	N/A	Access	SV chỉ tải certificate của chính mình	cert.userId ≠ currentUser	FORBIDDEN	FORBIDDEN	Tải cert user khác	Implemented	me/student/service/impl/StudentPortalServiceImpl.java
Certificate	N/A	Policy	Không có file storage (hoặc URL http) → generate PDF tối giản tên HK + fullName	resolve() thiếu object	Trả PDF generated	N/A	cert fileUrl null	Implemented	certificates/support/CertificateFileResolver.java
