Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Submission	FR-16	Invariant	Đã LATE_APPROVED|ACCEPTED thì giữ status khi sửa lại	existing LATE_APPROVED/ACCEPTED	Không hạ status	N/A	Sửa bài đã duyệt trễ	Implemented	SubmissionServiceImpl#resolveStatusOnSubmit
Submission	FR-16	StateTransition	Đã SUBMITTED rồi sửa sau deadline → LATE_PENDING/REJECTED	existing SUBMITTED && afterDeadline	Chuyển computed late status	N/A	Sửa bài đúng hạn sau close-early	Implemented	SubmissionServiceImpl#resolveStatusOnSubmit
Submission	FR-16	StateTransition	Bài REJECTED không nộp lại	existing.status=REJECTED	Từ chối	INVALID_STATE	Resubmit sau reject	Implemented	submissions/service/impl/SubmissionServiceImpl.java
Submission	FR-16	Validation	Multipart: lần tạo hoặc chưa có slide → PDF bắt buộc; validate size/MIME/magic	slide thiếu/sai PDF/quá MB	Từ chối	SLIDE_FILE_REQUIRED|INVALID_SLIDE_FILE	Submit không PDF / PNG	Implemented	submissions/support/SubmissionSlideStorage.java
Submission	FR-16	Validation	Sau store vẫn thiếu slideStorageKey → lỗi	store thất bại silent	Từ chối	INVALID_SLIDE_FILE	Mock storage fail	Implemented	SubmissionServiceImpl#submitInternal
Submission	FR-16	Invariant	Upsert top-by-team+track (SL) hoặc team+round (CK)	Submit lại cùng scope	Update cùng bản ghi + audit CREATE/UPDATE	N/A	Nộp 2 lần cùng track	Implemented	SubmissionServiceImpl#submitInternal
Submission	FR-17	SideEffect	Sau nộp: notify members + enqueue metadata + roster invalidate	Submit thành công	Notify SUBMISSION_RECEIVED; enqueueFetch; WS invalidate	N/A	Kiểm tra notification + metadata row	Implemented	SubmissionServiceImpl;SubmissionMetadataServiceImpl.java
Submission	FR-17	SideEffect	Enqueue metadata chỉ khi có repoUrl và chưa có row; status PENDING	enqueueFetch(submissionId)	Tạo SubmissionMetadata PENDING; không worker	N/A	Double enqueue idempotent	Partial	submissions/service/impl/SubmissionMetadataServiceImpl.java
Submission	FR-18	Policy	Chỉ SUBMITTED|LATE_APPROVED|ACCEPTED được chấm	status khác (LATE_PENDING/REJECTED…)	isGradable=false	SUBMISSION_NOT_GRADABLE (khi score)	Chấm LATE_PENDING	Implemented	submissions/policy/SubmissionGradablePolicy.java
Submission	FR-16	Authorization	Slide: COORDINATOR ok; JUDGE cần assignment round; STUDENT cần member; khác forbidden	GET slide	403 FORBIDDEN	FORBIDDEN	Judge không assign tải slide	Implemented	SubmissionServiceImpl#assertSlideAccess
Submission	FR-18	Authorization	List: JUDGE ẩn teamName/lateReason; bắt buộc roundId+assignment; STUDENT bắt buộc teamId+member	GET list theo role	Filter/ẩn danh	FORBIDDEN	Judge list không roundId	Implemented	SubmissionServiceImpl#list*
RoundProgression	FR-16A	StateTransition	Chỉ LATE_PENDING mới review	status≠LATE_PENDING	Từ chối	SUBMISSION_NOT_LATE_PENDING	Review SUBMITTED	Implemented	SubmissionServiceImpl#reviewLate
RoundProgression	FR-16A/FR-26	Gate	CK HARD_LOCK không duyệt bài trễ	isFinal && HARD_LOCK	Từ chối	LATE_PENDING_NOT_ALLOWED	Review late trên CK	Implemented	SubmissionServiceImpl#reviewLate
RoundProgression	FR-16A	Validation	REJECT bắt buộc note	decision=REJECT && blank note	Từ chối	REVIEW_NOTE_REQUIRED	Reject không note	Implemented	SubmissionServiceImpl#reviewLate
RoundProgression	FR-16A	StateTransition	APPROVE→LATE_APPROVED; REJECT→REJECTED + reviewedBy/At/note	PATCH review-late	Persist + audit SUBMISSION_LATE_REVIEW	N/A	Approve rồi chấm được	Implemented	SubmissionServiceImpl#reviewLate
RoundProgression	FR-16A/FR-23	SideEffect	APPROVE: append queue nếu đã shuffle; fail → flag queueAppendFailed + notify Coord	Approve sau shuffle	appendLateApprovedIfShuffled hoặc soft-fail	N/A (soft)	Approve khi queue đã shuffle	Implemented	SubmissionServiceImpl#reviewLate;PresentationQueueServiceImpl#appendLateApprovedIfShuffled
Score	FR-18	Validation	Chấm chỉ khi gradable	!SubmissionGradablePolicy	Từ chối	SUBMISSION_NOT_GRADABLE	Score LATE_PENDING	Implemented	scores/service/impl/ScoreServiceImpl.java
Score	FR-18/FR-21	StateTransition	Đội ELIMINATED khỏi track không chấm	TRT=ELIMINATED	Từ chối	INVALID_STATE	Score đội đã loại	Implemented	ScoreServiceImpl.java
Score	FR-18	Validation	scoreValue ≤ criterion.maxScore	score > max	Từ chối	SCORE_EXCEEDS_MAX	Score 101/100	Implemented	ScoreServiceImpl.java
Score	FR-18	Authorization	Judge phải assign track (SL) hoặc round (CK)	Không assignment	403	JUDGE_NOT_ASSIGNED_TO_TRACK|JUDGE_NOT_ASSIGNED	Judge track khác	Implemented	scores/guard/JudgeAssignmentGuard.java
Score	FR-18	Authorization	Cấm mentor đội/track đồng thời judge chấm	Mentor team hoặc mentor+judge cùng track	Từ chối	CONFLICT_MENTOR_JUDGE_SAME_TRACK	Mentor chấm đội mình	Implemented	scores/guard/MentorJudgeConflictGuard.java
Score	FR-20A	Gate	Round scoring_locked → không chấm	scoringLocked=true	423 ScoringLockedException	SCORING_LOCKED	Score sau lock	Implemented	ScoreServiceImpl.java
Score	FR-18/FR-23	Gate	Chỉ chấm khi RoundPhase=JUDGING	phase≠JUDGING (còn CODING)	Từ chối	SCORING_NOT_OPEN	Score trước hết hạn nộp	Implemented	ScoreServiceImpl#requireScoringOpen;RoundPhaseResolver.java
Score	FR-18/FR-23	Gate	Chỉ chấm khi slot PRESENTING	queueStatus≠PRESENTING hoặc không slot	Từ chối	SCORING_NOT_OPEN	Score đội WAITING	Implemented	ScoreServiceImpl#requireScoringOpen
Score	FR-18/FR-23	Gate	Timer phase phải PRESENTING|QA|PAUSED|ENDED (không IDLE/SETUP)	timer IDLE/SETUP	Từ chối	SCORING_NOT_OPEN	Score trước start timer	Implemented	presentation/support/PresentationScoringGate.java
Score	FR-18	Validation	Criterion phải thuộc track (SL) hoặc round (CK) của submission	Criterion sai scope	Từ chối	CRITERION_WRONG_ROUND	Criterion track khác	Implemented	ScoreServiceImpl#validateCriterionForSubmission
Score	FR-18/FR-23	SideEffect	Upsert score: isFinal=false; xóa confirm judge; publish LiveScoreSavedEvent	POST score (kể cả sửa)	Invalidate Chốt điểm	N/A	Sửa điểm sau confirm → phải confirm lại	Implemented	ScoreServiceImpl.java
RoundProgression	FR-15A	StateTransition	Phát đề one-way: đã problemReleasedAt không sửa	problemReleasedAt≠null	Từ chối	INVALID_STATE	Release lần 2	Implemented	RoundProgressionServiceImpl#releaseProblem
RoundProgression	FR-15A	Gate	Chỉ phát đề khi đã tới examAt	examAt null hoặc now&lt;examAt	Từ chối	INVALID_ROUND_STATE_BEFORE_EXAM	Release trước giờ thi	Implemented	RoundProgressionServiceImpl#releaseProblem
RoundProgression	FR-15A	Validation	SL: có track ACTIVE; mỗi track có PDF đề	Thiếu track/PDF	Từ chối	VALIDATION_FAILED	Release thiếu PDF track	Implemented	RoundProgressionServiceImpl#releaseProblem
RoundProgression	FR-15A	Validation	CK: không upload PDF round; reuse PDF track sơ loại của đội advance	file≠empty hoặc thiếu prelim PDF	Từ chối	VALIDATION_FAILED	Upload PDF trên CK	Implemented	RoundProgressionServiceImpl#releaseProblem
RoundProgression	FR-15A	SideEffect	Set problemReleasedAt (+track SL); audit; notify PROBLEM_RELEASED	Release OK	Persist + notify	N/A	Kiểm tra notification	Implemented	RoundProgressionServiceImpl#releaseProblem
RoundProgression	FR-16/FR-20A	Gate	Đã lock scoring không close-early	scoringLocked	Từ chối	INVALID_STATE	Close sau lock	Implemented	RoundProgressionServiceImpl#closeSubmissionEarly
RoundProgression	FR-16	StateTransition	Chỉ close-early một lần	submissionClosedEarlyAt≠null	Từ chối	SUBMISSION_ALREADY_CLOSED	Close 2 lần	Implemented	RoundProgressionServiceImpl#closeSubmissionEarly
RoundProgression	FR-15A/FR-16	Gate	Phải đã phát đề	problemReleasedAt=null	Từ chối	INVALID_ROUND_STATE_UNRELEASED	Close trước release	Implemented	RoundProgressionServiceImpl#closeSubmissionEarly
RoundProgression	FR-16	Gate	Phải đã tới examAt	now&lt;examAt	Từ chối	INVALID_ROUND_STATE_BEFORE_EXAM	Close trước exam	Implemented	RoundProgressionServiceImpl#closeSubmissionEarly
RoundProgression	FR-16	SideEffect	Set closedEarlyAt; clamp deadline=now-5s; normalize submissionOpen≤deadline	Close OK	Clamp deadline → mọi submit sau = late	N/A	Submit ngay sau close	Implemented	RoundProgressionServiceImpl#closeSubmissionEarly
RoundProgression	FR-20A	StateTransition	Không lock lại khi đã locked	scoringLocked	Từ chối	INVALID_STATE	Lock 2 lần	Implemented	RoundProgressionServiceImpl#lockScoring
RoundProgression	FR-20A	Gate	Phải closedEarly hoặc pastDeadline	Chưa hết giờ và chưa close sớm	Từ chối	INVALID_ROUND_STATE_NOT_CLOSED	Lock khi còn CODING	Implemented	RoundProgressionServiceImpl#lockScoring
RoundProgression	FR-20A/FR-23	Gate	Phải đã shuffle queue (CK: round flag; SL: mọi track)	Chưa shuffle	Từ chối	INVALID_ROUND_STATE_QUEUE_NOT_SHUFFLED	Lock chưa shuffle	Implemented	rounds/support/RoundPresentationReadiness.java
RoundProgression	FR-20A/FR-23	Gate	Mọi slot terminal DONE|ELIMINATED (SKIPPED không terminal)	Còn WAITING/PRESENTING/SKIPPED	Từ chối	INVALID_ROUND_STATE_PRESENTATIONS_INCOMPLETE	Lock còn WAITING hoặc SKIPPED	Implemented	RoundPresentationReadiness.java
RoundProgression	FR-20A	Gate	Còn pending submissions: cần force=true + reason; không force → block	pending&gt;0 && !force	Từ chối hoặc warning	INVALID_ROUND_STATE_SCORING_INCOMPLETE|FORCE_LOCK_REASON_REQUIRED	Lock thiếu điểm không force / force không reason	Implemented	RoundProgressionServiceImpl#lockScoring
RoundProgression	FR-20A	Validation	force=true luôn bắt buộc reason (kể cả đủ điểm)	force && blank reason	Từ chối	FORCE_LOCK_REASON_REQUIRED	Force lock không reason	Implemented	RoundProgressionServiceImpl#lockScoring
RoundProgression	FR-20A/FR-30A	SideEffect	Set locked+finalize is_final; event; nếu FINAL → hackathon PENDING_CONFIRM; auto tiebreak resolvable	Lock OK	scores.is_final=1; FR-30A status; autoApplyResolvableTiebreaks	N/A	Lock CK → PENDING_CONFIRM	Implemented	RoundProgressionServiceImpl#lockScoring;#transitionHackathonToPendingConfirm;#finalizeScoresForRound
RoundProgression	FR-20A	Validation	Unlock bắt buộc reason; round phải đang locked	blank reason / chưa lock	Từ chối	UNLOCK_REASON_REQUIRED|INVALID_STATE	Unlock không reason	Implemented	RoundProgressionServiceImpl#unlockScoring
RoundProgression	FR-20A	SideEffect	Clear lock flags; audit; publish scoringUnlocked	Unlock OK	Cho chấm lại	N/A	Unlock rồi POST score	Implemented	RoundProgressionServiceImpl#unlockScoring
RoundProgression	FR-24	Validation	Publish chỉ round Sơ loại	isFinal=true	Từ chối	INVALID_STATE	Publish round CK	Implemented	RoundProgressionServiceImpl#publish
RoundProgression	FR-24	Gate	Publish cần scoring_locked	!scoringLocked	Từ chối	ROUND_NOT_SCORING_LOCKED	Publish trước lock	Implemented	RoundProgressionServiceImpl#publish
RoundProgression	FR-24	StateTransition	Đã published không publish lại	isPublished	Từ chối	INVALID_STATE	Publish 2 lần	Implemented	RoundProgressionServiceImpl#publish
RoundProgression	FR-24	SideEffect	Set isPublished+publishedAt/By; announcement best-effort; notify SCORE_RELEASED	Publish OK	Công bố kết quả	N/A	Student xem scoreboard	Implemented	RoundProgressionServiceImpl#publish
Score	FR-20	Gate	GET ranking (không preview) cần scoring_locked	!scoringLocked	Từ chối	ROUND_NOT_SCORING_LOCKED	Ranking trước lock dùng preview	Implemented	RoundProgressionServiceImpl#ranking
Score	FR-20/FR-24	Gate	Public scoreboard cần isPublished	!isPublished	Từ chối	RESULT_NOT_PUBLISHED	Scoreboard trước publish	Implemented	RoundProgressionServiceImpl#scoreboard
RoundProgression	FR-24/FR-30	Gate	Advance roster cần published	!isPublished	Từ chối	RESULT_NOT_PUBLISHED	Roster trước publish	Implemented	RoundProgressionServiceImpl#advanceRoster
RoundProgression	FR-22B	Invariant	SL: đồng điểm tại cutoff TopN theo partition track_group → cần tiebreak	borderlineTeams &gt; remainingSlots	Trả TiebreakItem	N/A	Tạo 2 đội cùng điểm rank N	Implemented	RoundProgressionServiceImpl#detectRawTiebreakItems
RoundProgression	FR-22B	Invariant	CK: mọi nhóm đồng điểm liên tiếp trên bảng xếp hạng	≥2 đội same effective score	Trả items partition FINAL	N/A	2 đội CK cùng điểm	Implemented	RoundProgressionServiceImpl#detectTiebreakForFinalRound
RoundProgression	FR-22B	Policy	Effective score = total−penalty trừ khi hackathon FINISHED (đã net)	Hackathon status	Tránh trừ penalty 2 lần	N/A	FINISHED vs ONGOING	Implemented	RoundProgressionServiceImpl#effectiveScoreForTieDetection
RoundProgression	FR-22B	Policy	SUBMISSION_TIME / PENALTY_SCORE auto-order nếu tách được; COORDINATOR_DECISION hoặc DEEP_TIE → manual	tiebreakRule + candidates	suggestedOrderedTeamIds hoặc requiresManual	N/A	Cùng submittedAt → DEEP_TIE	Implemented	rounds/support/TiebreakRuleOrdering.java
RoundProgression	FR-22B	SideEffect	Sau lock: autoApplyResolvableTiebreaks cho item không manual	Lock scoring	Ghi penalty 0.01 increments casting vote	N/A	Lock với rule SUBMISSION_TIME tách được	Implemented	RoundProgressionServiceImpl#autoApplyResolvableTiebreaks;#applyTiebreakOrder
RoundProgression	FR-22B	Gate	Resolve tiebreak cần scoring_locked	!locked	Từ chối	ROUND_NOT_SCORING_LOCKED	Resolve trước lock	Implemented	RoundProgressionServiceImpl#resolveTiebreak
RoundProgression	FR-22B	Validation	orderedTeamIds không trùng	duplicate ids	Từ chối	INVALID_STATE	orderedTeamIds=[1,1]	Implemented	RoundProgressionServiceImpl#resolveTiebreak
RoundProgression	FR-22B	Validation	orderedTeamIds phải khớp đúng nhóm đang tie	Set≠candidate set	INVALID_STATE hoặc TIEBREAK_ALREADY_RESOLVED	INVALID_STATE|TIEBREAK_ALREADY_RESOLVED	Thứ tự đội không thuộc nhóm hòa	Implemented	RoundProgressionServiceImpl#resolveTiebreak
RoundProgression	FR-22B	StateTransition	Đã có casting-vote → 409	isCastingVote tồn tại	Conflict	TIEBREAK_ALREADY_RESOLVED	2 Coord resolve song song	Implemented	RoundProgressionServiceImpl#resolveTiebreak
RoundProgression	FR-22A	Policy	Product: wildcardCandidates luôn empty pool (Top-N only; WC-MIG)	GET wildcard-candidates	Trả empty; ignore enabled flags	N/A	GET candidates khi wildcardEnabled	Deprecated	RoundProgressionServiceImpl#wildcardCandidates
RoundProgression	FR-22A	Gate	Confirm proposal cần scoring_locked	!locked	Từ chối	ROUND_NOT_SCORING_LOCKED	Confirm trước lock	Implemented	RoundProgressionServiceImpl#confirmWildcardProposal
RoundProgression	FR-22A	StateTransition	Đã confirm không confirm lại	wildcardProposalConfirmedAt≠null	Từ chối	WILDCARD_PROPOSAL_ALREADY_CONFIRMED	Confirm 2 lần	Implemented	RoundProgressionServiceImpl#confirmWildcardProposal
RoundProgression	FR-22A	Gate	Round wildcardEnabled phải true	!wildcardEnabled	Từ chối	INVALID_STATE	Confirm khi tắt WC	Implemented	RoundProgressionServiceImpl#confirmWildcardProposal
RoundProgression	FR-22A	Gate	Phải có pool slots=min(minTeamsFinal−topN×tracks, minTeamsFinal−topNActual) &gt;0	Không đủ slot/remaining	Từ chối	INVALID_STATE	minTeamsFinal quá thấp	Implemented	RoundProgressionServiceImpl#resolveWildcardPool;#confirmWildcardProposal
RoundProgression	FR-22A	SideEffect	Approve proposed; reject ngoài pool; set confirmedAt; audit	Confirm OK	Lock proposal	N/A	Confirm rồi override	Implemented	RoundProgressionServiceImpl#confirmWildcardProposal
RoundProgression	FR-22A	Gate	Override chỉ sau proposal confirmed	confirmedAt=null	Từ chối	WILDCARD_PROPOSAL_NOT_LOCKED	Override trước confirm	Implemented	RoundProgressionServiceImpl#overrideWildcardReview
RoundProgression	FR-22A	Validation	Category ∈ PROPOSED_TEAM_VIOLATION|TRACK_QUOTA_ADJUST|SCORE_CORRECTED|OTHER; OTHER bắt buộc note	category invalid / OTHER blank note	Từ chối	WILDCARD_OVERRIDE_CATEGORY_INVALID|WILDCARD_OVERRIDE_NOTE_REQUIRED	Override OTHER không note	Implemented	wildcard_reviews/support/WildcardOverrideCategory.java;RoundProgressionServiceImpl
RoundProgression	FR-22A	SideEffect	Ghi WildcardOverrideHistory + isOverride + audit	Override OK	Lưu before/after approved	N/A	List overrides	Implemented	RoundProgressionServiceImpl#overrideWildcardReview
RoundProgression	FR-22A	Gate	Legacy decide: chặn nếu proposal confirmed; cần lock; chưa decided; team in pool; đủ slots khi approve	PATCH wildcard-reviews/{id}	Approve/reject + auto-reject remaining	WILDCARD_PROPOSAL_ALREADY_CONFIRMED|ROUND_NOT_SCORING_LOCKED|INVALID_STATE	Legacy decide sau Plan C	Deprecated	RoundProgressionServiceImpl#decideWildcardReview;WildcardReviewController
RoundProgression	FR-30	Validation	Advance chỉ round Sơ loại	isFinal	Từ chối	INVALID_STATE	Advance round CK	Implemented	RoundProgressionServiceImpl#requirePreliminaryRoundForProgression
RoundProgression	FR-24/FR-30	Gate	Advance cần scoring_locked + isPublished	Thiếu lock hoặc publish	Từ chối	ROUND_NOT_SCORING_LOCKED|RESULT_NOT_PUBLISHED	Advance trước publish	Implemented	RoundProgressionServiceImpl#requireScoringLockedAndPublished
RoundProgression	FR-22B/FR-30	Gate	Còn unresolved tiebreak → không advance (auto-resolve trước)	tiebreak() còn items	Từ chối kèm unresolvedItems	TIEBREAK_REQUIRED	Advance khi còn hòa cutoff	Implemented	RoundProgressionServiceImpl#advanceTeams
RoundProgression	FR-30	Gate	Hackathon phải có round FINAL	Không có isFinal round	Từ chối	INVALID_FINAL_ROUND	Advance thiếu CK	Implemented	RoundProgressionServiceImpl#advanceTeams
RoundProgression	FR-30	Validation	Team không vừa advanced vừa eliminated	overlap sets	Từ chối	INVALID_STATE	Cùng teamId 2 list	Implemented	RoundProgressionServiceImpl#advanceTeams
RoundProgression	FR-30	SideEffect	Set TRT ADVANCED/ELIMINATED; upsert TeamRoundParticipation CK; audit	Advance OK	Idempotent upsert TRP	N/A	Advance rồi submit CK	Implemented	RoundProgressionServiceImpl#advanceTeams;#upsertFinalRoundParticipation
RoundProgression	FR-22A/FR-30	Policy	Advance không block trên wildcard (WC-MIG Top-N only)	Legacy WC pending	Bỏ qua requireWildcardReadyForAdvance	WILDCARD_PENDING (không dùng)	Advance khi WC pending legacy	Implemented	RoundProgressionServiceImpl#advanceTeams
RoundProgression	FR-27	Validation	Chỉ assign judge trên round FINAL; warning nếu &lt;1 hoặc &lt;3 judges	!isFinal / ít judge	Assign FINAL_EXTERNAL + warnings MIN_FINAL_JUDGES_NOT_MET	INVALID_FINAL_ROUND	Assign trên prelim	Implemented	RoundProgressionServiceImpl#assignFinalJudges
Presentation	FR-23	Gate	Shuffle/next/skip chỉ khi RoundPhase=JUDGING	Còn CODING (trước deadline)	Từ chối	SUBMISSION_NOT_CLOSED_FOR_SHUFFLE	Shuffle trước hết hạn	Implemented	PresentationQueueServiceImpl#requireJudgingPhase;RoundPhaseResolver
Presentation	FR-23/FR-20A	Gate	Đã scoring_locked không shuffle	scoringLocked	Từ chối	INVALID_STATE	Shuffle sau lock	Implemented	PresentationQueueServiceImpl#shuffle
Presentation	FR-23	StateTransition	Đã shuffled + còn slots → conflict	presentationShuffled && slots≠empty	409	PRESENTATION_ALREADY_SHUFFLED	Shuffle 2 lần	Implemented	PresentationQueueServiceImpl#shuffle
Presentation	FR-23	Gate	Có PRESENTING|DONE|SKIPPED → không shuffle lại	Slot đã start	Từ chối	PRESENTATION_ALREADY_STARTED	Shuffle sau next	Implemented	PresentationQueueServiceImpl#assertNoPresentationStarted
Presentation	FR-23	Policy	Shuffle chỉ lấy submission gradable (SL theo track; CK theo TRP)	Fisher-Yates + tạo slots	Slot1=PRESENTING còn lại WAITING; clear confirms	N/A	LATE_PENDING không vào queue	Implemented	PresentationQueueServiceImpl#shuffleTrack;#shuffleFinalRound
Presentation	FR-23	Authorization	Shuffle/next/skip: Coord hoặc controller judge track/round	Không phải controller	403	NOT_TRACK_CONTROLLER	Judge thường gọi next	Implemented	presentation/guard/PresentationControllerGuard.java
Presentation	FR-23	Authorization	Student chỉ xem queue hackathon đã đăng ký; Judge ẩn tên đội	Student cross-hackathon	403	FORBIDDEN	Student xem queue hackathon khác	Implemented	PresentationQueueServiceImpl#assertCanViewQueue
Presentation	FR-23	StateTransition	Chuyển đội tiếp chỉ khi timer ENDED	phase≠ENDED	Từ chối	INVALID_STATE	Next khi còn PRESENTING	Implemented	PresentationQueueServiceImpl#advanceForScope
Presentation	FR-23/FR-18	Gate	Cần có điểm; incomplete cần ack (Coord/controller)	NO_SCORES hoặc thiếu Chốt điểm && !ack	Từ chối	SCORING_INCOMPLETE_BEFORE_NEXT	Next chưa confirm đủ judge	Implemented	presentation/support/PresentationNextScoringGuard.java
Presentation	FR-23	Authorization	acknowledgeIncompleteScoring chỉ Coord hoặc presentation controller	ack=true không đủ quyền	403	FORBIDDEN	Judge thường ack incomplete	Implemented	presentation/guard/PresentationForceAdvanceAckGuard.java
Presentation	FR-23	Invariant	SL 1 judge: đủ criteria; SL ≥2 hoặc CK: mọi judge phải confirm Chốt điểm	isScoringIncomplete	Block next trừ force-ack	SCORING_INCOMPLETE_BEFORE_NEXT	CK 3 judge thiếu 1 confirm	Implemented	presentation/support/PresentationScoringCompletionHelper.java
Presentation	FR-23	SideEffect	Current→DONE; next→PRESENTING+SETUP; xóa confirm của next; publish WS	Next OK	Reset timer next	N/A	Kiểm tra SETUP trước start	Implemented	PresentationQueueServiceImpl#advanceForScope
Presentation	FR-23	StateTransition	Skip no-show: không skip DONE; set SKIPPED+ENDED	submission DONE	Từ chối hoặc skip	INVALID_STATE	Skip đội DONE	Implemented	PresentationQueueServiceImpl#skipNoShow
Presentation	FR-16A/FR-23	SideEffect	LATE_APPROVED sau shuffle → append WAITING cuối queue	Approve late + shuffled + chưa có slot	Tạo slot + publish	N/A	Approve late sau shuffle	Implemented	PresentationQueueServiceImpl#appendLateApprovedIfShuffled
